,age,gender,size,City,target_hour
0,Adult,Female,Large,Chicago,0.0
1,Adult,Male,Medium,Chicago,19.0
2,Young,Male,Medium,Chicago,0.0
3,Adult,Male,Medium,Chicago,0.0
4,Young,Male,Medium,Chicago,0.0
5,Adult,Female,Medium,Chicago,0.0
6,Young,Male,Large,Chicago,43.0
7,Baby,Female,Medium,Chicago,33.0
8,Baby,Male,Small,Chicago,48.0
9,Adult,Female,Medium,Chicago,16.0
10,Young,Male,Medium,Chicago,14.0
11,Adult,Male,Small,Chicago,84.0
12,Adult,Female,Small,Chicago,116.0
13,Baby,Female,Small,Chicago,49.0
14,Baby,Male,Small,Chicago,49.0
15,Baby,Male,Small,Chicago,49.0
16,Adult,Male,Medium,Chicago,22.0
17,Baby,Female,Medium,Chicago,28.0
18,Baby,Male,Medium,Chicago,51.0
19,Baby,Female,Medium,Chicago,28.0
20,Young,Female,Medium,Chicago,22.0
21,Adult,Male,Medium,Chicago,23.0
22,Adult,Male,Small,Chicago,23.0
23,Adult,Female,Medium,Chicago,92.0
24,Senior,Male,Medium,Chicago,92.0
25,Young,Male,Extra Large,Chicago,81.0
26,Adult,Male,Medium,Chicago,0.0
27,Baby,Female,Medium,Chicago,94.0
28,Adult,Male,Small,Chicago,8.0
29,Young,Female,Medium,Chicago,7.0
30,Adult,Male,Small,Chicago,71.0
31,Young,Male,Medium,Chicago,118.0
32,Adult,Female,Medium,Chicago,122.0
33,Adult,Female,Medium,Chicago,119.0
34,Baby,Female,Medium,Chicago,115.0
35,Young,Female,Small,Chicago,39.0
36,Young,Male,Medium,Chicago,58.0
37,Adult,Male,Small,Chicago,20.0
38,Adult,Male,Large,Chicago,47.0
39,Young,Female,Large,Chicago,26.0
40,Adult,Female,Medium,Chicago,72.0
41,Adult,Female,Extra Large,Chicago,162.0
42,Young,Male,Large,Chicago,162.0
43,Baby,Male,Medium,Chicago,73.0
44,Baby,Male,Small,Chicago,123.0
45,Baby,Female,Small,Chicago,71.0
46,Young,Male,Large,Chicago,149.0
47,Adult,Male,Small,Chicago,54.0
48,Adult,Female,Small,Chicago,76.0
49,Young,Male,Small,Chicago,81.0
50,Baby,Female,Large,Chicago,117.0
51,Baby,Male,Large,Chicago,24.0
52,Baby,Male,Large,Chicago,24.0
53,Young,Female,Medium,Chicago,25.0
54,Baby,Male,Medium,Chicago,71.0
55,Young,Male,Small,Chicago,104.0
56,Adult,Male,Small,Chicago,124.0
57,Baby,Female,Medium,Chicago,99.0
58,Adult,Female,Medium,Chicago,178.0
59,Adult,Female,Small,Chicago,178.0
60,Adult,Male,Medium,Chicago,88.0
61,Senior,Female,Large,Chicago,111.0
62,Young,Male,Medium,Chicago,110.0
63,Baby,Female,Medium,Chicago,191.0
64,Adult,Female,Large,Chicago,66.0
65,Young,Male,Large,Chicago,118.0
66,Baby,Male,Large,Chicago,49.0
67,Adult,Female,Small,Chicago,130.0
68,Adult,Female,Medium,Chicago,140.0
69,Adult,Female,Small,Chicago,79.0
70,Baby,Female,Medium,Chicago,145.0
71,Baby,Female,Medium,Chicago,89.0
