,id,organization_id,url,type,species,age,gender,size,coat,tags,name,description,photos,status,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,attributes.spayed_neutered,attributes.house_trained,attributes.declawed,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,contact.email,contact.phone,contact.address.address1,contact.address.address2,contact.address.city,contact.address.state,contact.address.postcode,contact.address.country,_links.self.href,_links.type.href,_links.organization.href
0,47066537,TX1355,https://www.petfinder.com/dog/cole-47066537/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Baby,Male,Medium,Medium,"['loving', 'active', 'playful']",Cole,Cole is very playful and also a bit of a playful nibbler. He is a sweet boy who is full...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066537/1/?bust=1578584092&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066537/1/?bust=1578584092&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066537/1/?bust=1578584092&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066537/1/?bust=1578584092'}]",adopted,2020-01-20T16:41:42+0000,2020-01-09T15:35:57+0000,0.6011,Collie,,True,False,Black,White / Cream,,True,False,,False,True,True,True,True,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/47066537,/v2/types/dog,/v2/organizations/tx1355
1,47066503,TX1355,https://www.petfinder.com/dog/jackson-47066503/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Baby,Male,Medium,Long,"['shy', 'cuddly', 'loving']",Jackson,Jackson is a little more shy than his brother. He&#039;s very cuddly and is happy to have someone to cuddle...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/1/?bust=1578583875&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/1/?bust=1578583875&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/1/?bust=1578583875&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/1/?bust=1578583875'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/2/?bust=1578583891&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/2/?bust=1578583891&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/2/?bust=1578583891&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/2/?bust=1578583891'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/3/?bust=1578583897&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/3/?bust=1578583897&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/3/?bust=1578583897&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066503/3/?bust=1578583897'}]",adopted,2020-01-15T19:48:09+0000,2020-01-09T15:32:51+0000,0.6011,Australian Shepherd,,True,False,Merle (Blue),,,True,False,,False,True,True,True,True,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/47066503,/v2/types/dog,/v2/organizations/tx1355
2,47066374,TX1355,https://www.petfinder.com/dog/harvey-47066374/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Baby,Male,Medium,Long,"['Playful', 'Loving']",Harvey,Harvey is a playful little pup who is full of energy and love. He is so soft and cuddly.,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066374/1/?bust=1578583730&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066374/1/?bust=1578583730&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066374/1/?bust=1578583730&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066374/1/?bust=1578583730'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066374/2/?bust=1578583740&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066374/2/?bust=1578583740&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066374/2/?bust=1578583740&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47066374/2/?bust=1578583740'}]",adopted,2020-01-15T19:48:09+0000,2020-01-09T15:30:14+0000,0.6011,Australian Shepherd,,True,False,Merle (Blue),,,True,False,,False,True,True,True,True,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/47066374,/v2/types/dog,/v2/organizations/tx1355
3,47020399,TX1355,https://www.petfinder.com/dog/queso-47020399/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Adult,Female,Medium,Short,[],Queso,"Queso is a 3 year old multicolored plott hound mix. She is okay with some dogs, but not cats. Queso...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/3/?bust=1578091624&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/3/?bust=1578091624&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/3/?bust=1578091624&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/3/?bust=1578091624'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/1/?bust=1578091619&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/1/?bust=1578091619&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/1/?bust=1578091619&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/1/?bust=1578091619'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/2/?bust=1578091622&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/2/?bust=1578091622&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/2/?bust=1578091622&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47020399/2/?bust=1578091622'}]",adopted,2020-01-09T14:20:58+0000,2020-01-03T22:48:50+0000,0.6011,Plott Hound,,True,False,"Tricolor (Brown, Black, & White)",,,True,True,,False,True,False,True,False,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/47020399,/v2/types/dog,/v2/organizations/tx1355
4,47019390,TX1355,https://www.petfinder.com/dog/giselle-47019390/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Adult,Female,Medium,Short,"['Loving', 'Spunky']",Giselle,Hi I am Gisele. I am a three year old French Bulldog mix wanting to find my forever loving family....,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/4/?bust=1578085749&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/4/?bust=1578085749&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/4/?bust=1578085749&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/4/?bust=1578085749'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/1/?bust=1578085743&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/1/?bust=1578085743&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/1/?bust=1578085743&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/1/?bust=1578085743'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/2/?bust=1578085746&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/2/?bust=1578085746&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/2/?bust=1578085746&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/2/?bust=1578085746'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/3/?bust=1578085747&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/3/?bust=1578085747&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/3/?bust=1578085747&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47019390/3/?bust=1578085747'}]",adopted,2020-01-15T20:14:46+0000,2020-01-03T21:11:51+0000,0.6011,French Bulldog,,True,False,"Tricolor (Brown, Black, & White)",,,True,True,,False,True,True,True,True,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/47019390,/v2/types/dog,/v2/organizations/tx1355
5,47010757,TX1355,https://www.petfinder.com/dog/doug-47010757/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Young,Male,Medium,Medium,"['Loving', 'Protective']",Doug,"Hi, I’m Doug! I’m a 1 year old Schnauzer mix looking for a new home. I was found roaming the...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/2/?bust=1578004665&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/2/?bust=1578004665&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/2/?bust=1578004665&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/2/?bust=1578004665'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/1/?bust=1578004660&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/1/?bust=1578004660&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/1/?bust=1578004660&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/1/?bust=1578004660'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/3/?bust=1578004667&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/3/?bust=1578004667&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/3/?bust=1578004667&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/3/?bust=1578004667'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/4/?bust=1578004670&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/4/?bust=1578004670&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/4/?bust=1578004670&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47010757/4/?bust=1578004670'}]",adopted,2020-01-15T19:48:27+0000,2020-01-02T22:43:29+0000,0.6011,Standard Schnauzer,,True,False,Yellow / Tan / Blond / Fawn,,,True,True,,False,True,True,True,True,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/47010757,/v2/types/dog,/v2/organizations/tx1355
6,47006657,TX1355,https://www.petfinder.com/dog/zima-47006657/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Young,Female,Medium,Medium,"['Lap Dog', 'Snuggler']",Zima,"Doggy door trained, snuggler, lap dog.","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/2/?bust=1577982144&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/2/?bust=1577982144&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/2/?bust=1577982144&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/2/?bust=1577982144'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/1/?bust=1577982140&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/1/?bust=1577982140&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/1/?bust=1577982140&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/1/?bust=1577982140'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/3/?bust=1577982155&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/3/?bust=1577982155&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/3/?bust=1577982155&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/3/?bust=1577982155'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/4/?bust=1578084752&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/4/?bust=1578084752&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/4/?bust=1578084752&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47006657/4/?bust=1578084752'}]",adopted,2020-01-15T19:48:27+0000,2020-01-02T16:46:27+0000,0.6011,Standard Schnauzer,,True,False,Gray / Blue / Silver,,,True,True,,False,True,True,True,True,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/47006657,/v2/types/dog,/v2/organizations/tx1355
7,46973958,TX1355,https://www.petfinder.com/dog/pebbles-46973958/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Young,Female,Small,Short,['Friendly'],Pebbles,Pebbles came to us a few months ago with a horrible skin infection. Her skin recovered remarkably well. Pebbles is...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/4/?bust=1577739807&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/4/?bust=1577739807&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/4/?bust=1577739807&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/4/?bust=1577739807'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/1/?bust=1577739801&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/1/?bust=1577739801&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/1/?bust=1577739801&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/1/?bust=1577739801'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/2/?bust=1577739803&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/2/?bust=1577739803&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/2/?bust=1577739803&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/2/?bust=1577739803'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/3/?bust=1577739805&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/3/?bust=1577739805&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/3/?bust=1577739805&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973958/3/?bust=1577739805'}]",adopted,2020-01-15T19:49:26+0000,2020-01-02T16:10:12+0000,0.6011,Dachshund,Beagle,True,False,Bicolor,Brown / Chocolate,White / Cream,True,True,,False,True,,,,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/46973958,/v2/types/dog,/v2/organizations/tx1355
8,46982388,TX1355,https://www.petfinder.com/dog/peach-46982388/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Adult,Female,Medium,Short,"['Calm', 'Loving']",Peach,"Peach, or Princess Peach as we call her, is a good girl who has had a rough life through no...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46982388/1/?bust=1577825408&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46982388/1/?bust=1577825408&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46982388/1/?bust=1577825408&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46982388/1/?bust=1577825408'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46982388/2/?bust=1577825413&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46982388/2/?bust=1577825413&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46982388/2/?bust=1577825413&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46982388/2/?bust=1577825413'}]",adopted,2020-01-15T20:15:25+0000,2019-12-31T21:45:21+0000,0.6011,Labrador Retriever,,True,False,Yellow / Tan / Blond / Fawn,,,True,True,,False,True,False,True,True,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/46982388,/v2/types/dog,/v2/organizations/tx1355
9,46973539,TX1355,https://www.petfinder.com/dog/jack-46973539/tx/corpus-christi/for-the-love-of-strays-tx1355/?referrer_id=f635296f-071e-4c60-85dd-70fc748c7f81,Dog,Dog,Baby,Male,Small,Short,"['Sweet', 'Playful']",Jack,"Jack is potty pad trained, he has not been around small children or bigger dogs to gauge whether he is...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/2/?bust=1577737973&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/2/?bust=1577737973&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/2/?bust=1577737973&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/2/?bust=1577737973'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/1/?bust=1577737966&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/1/?bust=1577737966&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/1/?bust=1577737966&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/1/?bust=1577737966'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/3/?bust=1577737979&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/3/?bust=1577737979&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/3/?bust=1577737979&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46973539/3/?bust=1577737979'}]",adopted,2020-01-21T20:47:19+0000,2019-12-30T20:35:06+0000,0.6011,Terrier,Mixed Breed,True,False,Brown / Chocolate,,,True,False,,False,True,,True,True,fortheloveofstrays@yahoo.com,(361) 462-7911,P.O. Box 8122,,Corpus Christi,TX,78468,US,/v2/animals/46973539,/v2/types/dog,/v2/organizations/tx1355
